Rank,Release,Gross,Theaters,Total_Gross,Release Date,Distributor
1,Avengers: Endgame,"$858,373,000 ","4,662","$858,373,000 ",26-Apr,Walt Disney Studios Motion Pictures
2,The Lion King,"$543,638,043 ","4,802","$543,638,043 ",19-Jul,Walt Disney Studios Motion Pictures
3,Toy Story 4,"$434,038,008 ","4,575","$434,038,008 ",21-Jun,Walt Disney Studios Motion Pictures
4,Frozen II,"$430,144,682 ","4,440","$477,284,992 ",22-Nov,Walt Disney Studios Motion Pictures
5,Captain Marvel,"$426,829,839 ","4,310","$426,829,839 ",8-Mar,Walt Disney Studios Motion Pictures
6,Star Wars: Episode IX - The Rise of Skywalker,"$390,706,234 ","4,406","$515,049,789 ",20-Dec,Walt Disney Studios Motion Pictures
7,Spider-Man: Far from Home,"$390,532,085 ","4,634","$390,532,085 ",2-Jul,Sony Pictures Releasing
8,Aladdin,"$355,559,216 ","4,476","$355,559,216 ",24-May,Walt Disney Studios Motion Pictures
9,Joker,"$333,772,511 ","4,374","$335,451,311 ",4-Oct,Warner Bros.
10,It Chapter Two,"$211,593,228 ","4,570","$211,593,228 ",6-Sep,Warner Bros.
11,Jumanji: The Next Level,"$192,094,536 ","4,227","$315,971,726 ",13-Dec,Sony Pictures Releasing
12,Us,"$175,084,580 ","3,743","$175,084,580 ",22-Mar,Universal Pictures
13,Fast & Furious Presents: Hobbs & Shaw,"$173,956,935 ","4,344","$173,956,935 ",2-Aug,Universal Pictures
14,John Wick: Chapter 3 - Parabellum,"$171,015,687 ","3,850","$171,015,687 ",17-May,Lionsgate
15,How to Train Your Dragon: The Hidden World,"$160,799,505 ","4,286","$160,799,505 ",22-Feb,Universal Pictures
16,The Secret Life of Pets 2,"$157,949,395 ","4,564","$158,874,395 ",7-Jun,Universal Pictures
17,Pokémon Detective Pikachu,"$144,105,346 ","4,248","$144,105,346 ",10-May,Warner Bros.
18,Once Upon a Time... in Hollywood,"$141,076,968 ","3,659","$142,502,728 ",26-Jul,Sony Pictures Releasing
19,Shazam!,"$140,371,656 ","4,306","$140,371,656 ",5-Apr,Warner Bros.
20,Aquaman,"$136,001,983 ","4,184","$335,061,807 ",21-Dec,Warner Bros.
21,Knives Out,"$115,711,579 ","3,461","$165,179,842 ",27-Nov,Lionsgate
22,Dumbo,"$114,766,307 ","4,259","$114,766,307 ",29-Mar,Walt Disney Studios Motion Pictures
23,Maleficent: Mistress of Evil,"$113,294,737 ","3,820","$113,929,605 ",18-Oct,Walt Disney Studios Motion Pictures
24,Glass,"$111,048,468 ","3,844","$111,048,468 ",18-Jan,Universal Pictures
25,Godzilla: King of the Monsters,"$110,500,138 ","4,108","$110,500,138 ",31-May,Warner Bros.
26,The Upside,"$108,252,517 ","3,568","$108,252,517 ",11-Jan,STX Entertainment
27,Ford v Ferrari,"$107,196,444 ","3,746","$117,594,481 ",15-Nov,Twentieth Century Fox
28,The Lego Movie 2: The Second Part,"$105,806,508 ","4,303","$105,806,508 ",8-Feb,Warner Bros.
29,Hustlers,"$104,960,643 ","3,525","$104,963,598 ",13-Sep,STX Entertainment
30,The Addams Family,"$97,185,807 ","4,107","$100,044,905 ",11-Oct,United Artists Releasing
